Neighborhood,Sector #,Pop. 1940,Pop. 1950,Pop. 1960,Pop. 1970,Pop. 1980,Pop. 1990,Pop. 2000,Pop. 2010,% Pop. Change 60-70,% Pop. Change 70-80,% Pop. Change 80-90,% Pop. Change 90-00,% Pop. Change 00-10,Pop. as % of City total (2010),Land Area (sq. mi),Land Area (acres),Persons / sq. mi (2010),Persons / sq. mi (2000),Persons / acre (2010),Persons / acre (2000),% African American (2010),% Asian (2010),% Other (2010),% White (2010),% 2+ Races (2010),% Hispanic (of any race) (2010),% Pop. Age < 5 (2010),% Pop. Age 5-19 (2010),% Pop. Age 20-34 (2010),% Pop. Age 35-59 (2010),% Pop. Age 60-74 (2010),% Pop. Age > 75 (2010)
Allegheny Center,3.00 ,4521.00 ,3862.00 ,2512.00 ,632.00 ,1586.00 ,1262.00 ,886.00 ,933.00 ,(0.75),1.51 ,(0.20),(0.30),0.05 ,0.00 ,0.20 ,134.40 ,4442.90 ,4219.00 ,6.90 ,6.60 ,0.49 ,0.06 ,0.01 ,0.41 ,0.04 ,0.03 ,0.04 ,0.22 ,0.28 ,0.22 ,0.18 ,0.07 
Allegheny West,3.00 ,3210.00 ,3313.00 ,2170.00 ,1124.00 ,820.00 ,654.00 ,508.00 ,462.00 ,(0.48),(0.27),(0.20),(0.22),(0.09),0.00 ,0.10 ,90.20 ,3276.60 ,3602.80 ,5.10 ,5.60 ,0.18 ,0.02 ,0.01 ,0.77 ,0.03 ,0.03 ,0.00 ,0.00 ,0.08 ,0.68 ,0.13 ,0.11 
Allentown,6.00 ,8227.00 ,7487.00 ,6416.00 ,5361.00 ,4292.00 ,3600.00 ,3220.00 ,2500.00 ,(0.16),(0.20),(0.16),(0.11),(0.22),0.01 ,0.30 ,188.80 ,8474.60 ,10915.30 ,13.20 ,17.10 ,0.35 ,0.00 ,0.01 ,0.59 ,0.05 ,0.02 ,0.04 ,0.15 ,0.24 ,0.35 ,0.14 ,0.08 
Arlington,7.00 ,2702.00 ,3203.00 ,4430.00 ,3949.00 ,2294.00 ,2210.00 ,1999.00 ,1869.00 ,(0.11),(0.42),(0.04),(0.10),(0.07),0.01 ,0.50 ,300.80 ,3976.60 ,4253.20 ,6.20 ,6.60 ,0.20 ,0.00 ,0.00 ,0.76 ,0.03 ,0.01 ,0.07 ,0.19 ,0.19 ,0.32 ,0.09 ,0.14 
Arlington Heights,7.00 ,2413.00 ,2860.00 ,2272.00 ,2037.00 ,1466.00 ,1497.00 ,238.00 ,244.00 ,(0.10),(0.28),0.02 ,(0.84),0.03 ,0.00 ,0.10 ,84.50 ,1848.50 ,1803.00 ,2.90 ,2.80 ,0.84 ,0.00 ,0.02 ,0.09 ,0.05 ,0.01 ,0.04 ,0.39 ,0.16 ,0.31 ,0.03 ,0.06 
Banksville,5.00 ,1214.00 ,1328.00 ,2641.00 ,4927.00 ,3831.00 ,4769.00 ,4540.00 ,4144.00 ,0.87 ,(0.22),0.24 ,(0.05),(0.09),0.01 ,1.00 ,620.20 ,4276.60 ,4685.20 ,6.70 ,7.30 ,0.04 ,0.05 ,0.01 ,0.88 ,0.02 ,0.01 ,0.03 ,0.11 ,0.25 ,0.30 ,0.09 ,0.22 
Bedford Dwellings,15.00 ,2663.00 ,3870.00 ,4915.00 ,3800.00 ,2878.00 ,2317.00 ,2109.00 ,1202.00 ,(0.23),(0.24),(0.19),(0.09),(0.43),0.00 ,0.20 ,114.60 ,6715.10 ,11782.10 ,10.50 ,18.40 ,0.92 ,0.00 ,0.01 ,0.04 ,0.03 ,0.02 ,0.19 ,0.13 ,0.14 ,0.28 ,0.17 ,0.09 
Beechview,5.00 ,10853.00 ,11994.00 ,14032.00 ,14360.00 ,11911.00 ,9311.00 ,8772.00 ,7974.00 ,0.02 ,(0.17),(0.22),(0.06),(0.09),0.03 ,1.50 ,934.40 ,5461.60 ,6008.20 ,8.50 ,9.40 ,0.12 ,0.02 ,0.03 ,0.81 ,0.03 ,0.06 ,0.06 ,0.15 ,0.24 ,0.33 ,0.12 ,0.10 
Beltzhoover,6.00 ,8407.00 ,8153.00 ,7064.00 ,5908.00 ,4206.00 ,3338.00 ,2783.00 ,1925.00 ,(0.16),(0.29),(0.21),(0.17),(0.31),0.01 ,0.40 ,269.40 ,4572.40 ,6610.50 ,7.10 ,10.30 ,0.83 ,0.00 ,0.02 ,0.10 ,0.05 ,0.02 ,0.06 ,0.27 ,0.13 ,0.29 ,0.13 ,0.12 
Bloomfield,12.00 ,20708.00 ,20074.00 ,16715.00 ,14411.00 ,11761.00 ,10405.00 ,9089.00 ,8442.00 ,(0.14),(0.18),(0.12),(0.13),(0.07),0.03 ,0.70 ,449.30 ,12025.60 ,12947.30 ,18.80 ,20.20 ,0.09 ,0.06 ,0.01 ,0.82 ,0.02 ,0.03 ,0.04 ,0.09 ,0.40 ,0.27 ,0.13 ,0.07 
Bluff,15.00 ,9391.00 ,8949.00 ,5955.00 ,4379.00 ,4723.00 ,3220.00 ,6423.00 ,6600.00 ,(0.26),0.08 ,(0.32),0.99 ,0.03 ,0.02 ,0.30 ,209.30 ,20183.50 ,19642.20 ,31.50 ,30.70 ,0.31 ,0.01 ,0.01 ,0.66 ,0.01 ,0.02 ,0.00 ,0.31 ,0.40 ,0.25 ,0.04 ,0.01 
Bon Air,6.00 ,814.00 ,1330.00 ,1500.00 ,1428.00 ,1144.00 ,1006.00 ,889.00 ,808.00 ,(0.05),(0.20),(0.12),(0.12),(0.09),0.00 ,0.30 ,200.30 ,2581.50 ,2840.30 ,4.00 ,4.40 ,0.04 ,0.01 ,0.00 ,0.93 ,0.01 ,0.01 ,0.04 ,0.16 ,0.20 ,0.25 ,0.23 ,0.12 
Brighton Heights,2.00 ,11515.00 ,11847.00 ,11483.00 ,10604.00 ,9122.00 ,8580.00 ,8050.00 ,7247.00 ,(0.08),(0.14),(0.06),(0.06),(0.10),0.02 ,1.10 ,714.90 ,6487.90 ,7206.80 ,10.10 ,11.30 ,0.22 ,0.01 ,0.01 ,0.74 ,0.03 ,0.02 ,0.06 ,0.20 ,0.21 ,0.37 ,0.09 ,0.07 
Brookline,5.00 ,14721.00 ,16559.00 ,20381.00 ,20336.00 ,17231.00 ,15488.00 ,14318.00 ,13214.00 ,(0.00),(0.15),(0.10),(0.08),(0.08),0.04 ,2.10 ,1332.50 ,6346.80 ,6877.00 ,9.90 ,10.70 ,0.05 ,0.01 ,0.01 ,0.91 ,0.02 ,0.02 ,0.07 ,0.13 ,0.26 ,0.34 ,0.13 ,0.08 
California-Kirkbride,3.00 ,5893.00 ,5428.00 ,4235.00 ,3007.00 ,1800.00 ,1156.00 ,973.00 ,761.00 ,(0.29),(0.40),(0.36),(0.16),(0.22),0.00 ,0.20 ,138.90 ,3506.90 ,4483.90 ,5.50 ,7.00 ,0.76 ,0.00 ,0.01 ,0.19 ,0.04 ,0.01 ,0.18 ,0.37 ,0.10 ,0.31 ,0.05 ,0.00 
Carrick,5.00 ,16534.00 ,16530.00 ,16480.00 ,15855.00 ,12930.00 ,11625.00 ,10685.00 ,10113.00 ,(0.04),(0.18),(0.10),(0.08),(0.05),0.03 ,1.70 ,1070.70 ,6044.80 ,6386.70 ,9.40 ,10.00 ,0.10 ,0.01 ,0.01 ,0.86 ,0.03 ,0.02 ,0.06 ,0.15 ,0.17 ,0.41 ,0.12 ,0.09 
Central Business District,16.00 ,7864.00 ,7517.00 ,2211.00 ,3679.00 ,3220.00 ,3785.00 ,2721.00 ,3629.00 ,0.66 ,(0.12),0.18 ,(0.28),0.33 ,0.01 ,0.60 ,409.60 ,5670.30 ,4251.60 ,8.90 ,6.60 ,0.16 ,0.05 ,0.02 ,0.75 ,0.03 ,0.03 ,0.01 ,0.12 ,0.28 ,0.32 ,0.14 ,0.13 
Central Lawrenceville,13.00 ,14148.00 ,12594.00 ,10251.00 ,8043.00 ,6563.00 ,5867.00 ,5106.00 ,4482.00 ,(0.22),(0.18),(0.11),(0.13),(0.12),0.01 ,1.00 ,616.30 ,4654.20 ,5302.20 ,7.30 ,8.30 ,0.09 ,0.02 ,0.01 ,0.86 ,0.02 ,0.02 ,0.03 ,0.14 ,0.16 ,0.39 ,0.16 ,0.13 
Central Northside,3.00 ,12486.00 ,11538.00 ,9897.00 ,6492.00 ,4665.00 ,3723.00 ,3200.00 ,2923.00 ,(0.34),(0.28),(0.20),(0.14),(0.09),0.01 ,0.30 ,165.80 ,11285.70 ,12355.20 ,17.60 ,19.30 ,0.46 ,0.01 ,0.01 ,0.49 ,0.03 ,0.03 ,0.01 ,0.16 ,0.21 ,0.42 ,0.14 ,0.07 
Central Oakland,14.00 ,7852.00 ,8452.00 ,6701.00 ,6135.00 ,5872.00 ,5406.00 ,5281.00 ,6086.00 ,(0.08),(0.04),(0.08),(0.02),0.15 ,0.02 ,0.30 ,179.80 ,21658.40 ,18793.60 ,33.80 ,29.40 ,0.05 ,0.09 ,0.01 ,0.83 ,0.02 ,0.03 ,0.01 ,0.12 ,0.72 ,0.07 ,0.04 ,0.04 
Chartiers City,4.00 ,935.00 ,1049.00 ,1014.00 ,1156.00 ,772.00 ,569.00 ,595.00 ,477.00 ,0.14 ,(0.33),(0.26),0.05 ,(0.20),0.00 ,0.10 ,84.50 ,3613.60 ,4507.60 ,5.60 ,7.00 ,0.68 ,0.00 ,0.01 ,0.30 ,0.01 ,0.00 ,0.00 ,0.08 ,0.13 ,0.34 ,0.28 ,0.17 
Chateau,3.00 ,8267.00 ,7326.00 ,5251.00 ,681.00 ,322.00 ,12.00 ,39.00 ,11.00 ,(0.87),(0.53),(0.96),2.25 ,(0.72),0.00 ,0.40 ,245.10 ,28.70 ,101.80 ,0.00 ,0.20 ,0.27 ,0.00 ,0.00 ,0.73 ,0.00 ,0.00 ,0.23 ,0.00 ,0.77 ,0.00 ,0.00 ,0.00 
Crafton Heights,4.00 ,3930.00 ,4014.00 ,4560.00 ,4895.00 ,4904.00 ,4563.00 ,4199.00 ,3814.00 ,0.07 ,0.00 ,(0.07),(0.08),(0.09),0.01 ,0.80 ,482.60 ,5058.40 ,5569.00 ,7.90 ,8.70 ,0.29 ,0.01 ,0.01 ,0.66 ,0.04 ,0.02 ,0.08 ,0.15 ,0.20 ,0.37 ,0.11 ,0.10 
Crawford-Roberts,15.00 ,17045.00 ,17334.00 ,10277.00 ,5938.00 ,3558.00 ,2459.00 ,2724.00 ,2256.00 ,(0.42),(0.40),(0.31),0.11 ,(0.17),0.01 ,0.30 ,165.10 ,8744.20 ,10558.10 ,13.70 ,16.50 ,0.82 ,0.01 ,0.01 ,0.14 ,0.02 ,0.01 ,0.03 ,0.18 ,0.21 ,0.30 ,0.16 ,0.12 
Duquesne Heights,6.00 ,5077.00 ,5064.00 ,4696.00 ,4326.00 ,3605.00 ,2786.00 ,2696.00 ,2425.00 ,(0.08),(0.17),(0.23),(0.03),(0.10),0.01 ,0.60 ,398.70 ,3892.50 ,4327.40 ,6.10 ,6.80 ,0.03 ,0.02 ,0.00 ,0.93 ,0.02 ,0.01 ,0.01 ,0.11 ,0.24 ,0.32 ,0.19 ,0.13 
East Allegheny,3.00 ,12971.00 ,11763.00 ,8763.00 ,5953.00 ,4420.00 ,3088.00 ,2635.00 ,2136.00 ,(0.32),(0.26),(0.30),(0.15),(0.19),0.01 ,0.20 ,151.00 ,9050.80 ,11165.30 ,14.10 ,17.40 ,0.30 ,0.01 ,0.02 ,0.63 ,0.04 ,0.04 ,0.04 ,0.10 ,0.23 ,0.44 ,0.13 ,0.06 
East Carnegie,4.00 ,1827.00 ,1579.00 ,1291.00 ,992.00 ,795.00 ,605.00 ,485.00 ,570.00 ,(0.23),(0.20),(0.24),(0.20),0.18 ,0.00 ,0.40 ,276.50 ,1319.40 ,1122.70 ,2.10 ,1.80 ,0.16 ,0.01 ,0.03 ,0.78 ,0.02 ,0.04 ,0.00 ,0.20 ,0.05 ,0.42 ,0.13 ,0.20 
East Hills,11.00 ,4113.00 ,3929.00 ,3761.00 ,5303.00 ,5636.00 ,4505.00 ,3951.00 ,3169.00 ,0.41 ,0.06 ,(0.20),(0.12),(0.20),0.01 ,0.50 ,346.20 ,5857.70 ,7303.10 ,9.20 ,11.40 ,0.93 ,0.00 ,0.01 ,0.02 ,0.03 ,0.01 ,0.08 ,0.29 ,0.13 ,0.26 ,0.16 ,0.08 
East Liberty,12.00 ,13754.00 ,14954.00 ,12005.00 ,8647.00 ,8741.00 ,7973.00 ,6871.00 ,5869.00 ,(0.28),0.01 ,(0.09),(0.14),(0.15),0.02 ,0.60 ,371.80 ,10101.50 ,11826.20 ,15.80 ,18.50 ,0.68 ,0.03 ,0.01 ,0.25 ,0.03 ,0.02 ,0.07 ,0.17 ,0.26 ,0.28 ,0.09 ,0.13 
Elliott,4.00 ,6814.00 ,6340.00 ,5622.00 ,4841.00 ,3832.00 ,3104.00 ,2954.00 ,2381.00 ,(0.14),(0.21),(0.19),(0.05),(0.19),0.01 ,0.60 ,387.80 ,3929.00 ,4874.60 ,6.10 ,7.60 ,0.30 ,0.01 ,0.01 ,0.66 ,0.03 ,0.02 ,0.02 ,0.32 ,0.07 ,0.42 ,0.10 ,0.08 
Esplen,4.00 ,1708.00 ,1624.00 ,1325.00 ,1073.00 ,782.00 ,599.00 ,495.00 ,301.00 ,(0.19),(0.27),(0.23),(0.17),(0.39),0.00 ,0.20 ,147.20 ,1308.70 ,2152.20 ,2.00 ,3.40 ,0.30 ,0.01 ,0.02 ,0.65 ,0.02 ,0.01 ,0.15 ,0.16 ,0.07 ,0.47 ,0.15 ,0.00 
Fairywood,4.00 ,1324.00 ,4491.00 ,3819.00 ,3240.00 ,3008.00 ,2951.00 ,1099.00 ,1002.00 ,(0.15),(0.07),(0.02),(0.63),(0.09),0.00 ,1.00 ,620.20 ,1034.10 ,1134.20 ,1.60 ,1.80 ,0.28 ,0.02 ,0.02 ,0.63 ,0.05 ,0.05 ,0.12 ,0.24 ,0.20 ,0.25 ,0.19 ,0.00 
Fineview,3.00 ,4192.00 ,4997.00 ,4305.00 ,3463.00 ,2398.00 ,1907.00 ,1751.00 ,1285.00 ,(0.20),(0.31),(0.20),(0.08),(0.27),0.00 ,0.30 ,160.00 ,5140.00 ,7004.00 ,8.00 ,10.90 ,0.52 ,0.00 ,0.01 ,0.44 ,0.03 ,0.02 ,0.12 ,0.15 ,0.20 ,0.32 ,0.16 ,0.04 
Friendship,12.00 ,2357.00 ,2852.00 ,2362.00 ,2136.00 ,2148.00 ,1976.00 ,1791.00 ,1785.00 ,(0.10),0.01 ,(0.08),(0.09),(0.00),0.01 ,0.10 ,67.80 ,16839.60 ,16896.20 ,26.30 ,26.40 ,0.20 ,0.13 ,0.02 ,0.63 ,0.02 ,0.04 ,0.04 ,0.07 ,0.50 ,0.27 ,0.08 ,0.04 
Garfield,12.00 ,11133.00 ,11283.00 ,9455.00 ,10246.00 ,7536.00 ,6327.00 ,5450.00 ,3675.00 ,0.08 ,(0.26),(0.16),(0.14),(0.33),0.01 ,0.50 ,292.50 ,8041.60 ,11925.60 ,12.60 ,18.60 ,0.80 ,0.03 ,0.01 ,0.14 ,0.03 ,0.01 ,0.02 ,0.32 ,0.19 ,0.32 ,0.12 ,0.04 
Glen Hazel,9.00 ,3915.00 ,5575.00 ,4135.00 ,1523.00 ,607.00 ,793.00 ,805.00 ,716.00 ,(0.63),(0.60),0.31 ,0.02 ,(0.11),0.00 ,0.50 ,291.80 ,1570.20 ,1765.40 ,2.50 ,2.80 ,0.68 ,0.00 ,0.01 ,0.29 ,0.02 ,0.01 ,0.06 ,0.20 ,0.08 ,0.24 ,0.12 ,0.30 
Greenfield,9.00 ,14111.00 ,13952.00 ,12984.00 ,12234.00 ,9873.00 ,8485.00 ,7832.00 ,7294.00 ,(0.06),(0.19),(0.14),(0.08),(0.07),0.02 ,0.80 ,494.70 ,9436.00 ,10132.00 ,14.70 ,15.80 ,0.04 ,0.04 ,0.01 ,0.88 ,0.02 ,0.03 ,0.04 ,0.13 ,0.31 ,0.31 ,0.13 ,0.08 
Hays,8.00 ,2238.00 ,1897.00 ,1556.00 ,955.00 ,679.00 ,537.00 ,457.00 ,362.00 ,(0.39),(0.29),(0.21),(0.15),(0.21),0.00 ,1.80 ,1120.00 ,206.90 ,261.10 ,0.30 ,0.40 ,0.07 ,0.02 ,0.00 ,0.88 ,0.03 ,0.04 ,0.20 ,0.06 ,0.17 ,0.28 ,0.14 ,0.16 
Hazelwood,9.00 ,11571.00 ,12371.00 ,12757.00 ,9937.00 ,7968.00 ,6456.00 ,5334.00 ,4317.00 ,(0.22),(0.20),(0.19),(0.17),(0.19),0.01 ,1.60 ,1013.10 ,2727.10 ,3369.60 ,4.30 ,5.30 ,0.41 ,0.02 ,0.01 ,0.54 ,0.03 ,0.02 ,0.04 ,0.20 ,0.16 ,0.36 ,0.14 ,0.09 
Highland Park,12.00 ,8960.00 ,10239.00 ,9805.00 ,9223.00 ,8032.00 ,7029.00 ,6749.00 ,6395.00 ,(0.06),(0.13),(0.12),(0.04),(0.05),0.02 ,1.20 ,744.30 ,5498.70 ,5803.10 ,8.60 ,9.10 ,0.26 ,0.03 ,0.01 ,0.67 ,0.03 ,0.03 ,0.07 ,0.12 ,0.26 ,0.39 ,0.11 ,0.05 
Homewood North,11.00 ,13599.00 ,13316.00 ,11775.00 ,8645.00 ,7057.00 ,5331.00 ,4522.00 ,3280.00 ,(0.27),(0.18),(0.24),(0.15),(0.27),0.01 ,0.40 ,277.80 ,7557.60 ,10419.40 ,11.80 ,16.30 ,0.93 ,0.00 ,0.02 ,0.02 ,0.03 ,0.02 ,0.09 ,0.26 ,0.14 ,0.35 ,0.10 ,0.06 
Homewood South,11.00 ,13022.00 ,12610.00 ,22463.00 ,8876.00 ,6228.00 ,4811.00 ,3647.00 ,2344.00 ,(0.60),(0.30),(0.23),(0.24),(0.36),0.01 ,0.40 ,254.70 ,5889.40 ,9163.30 ,9.20 ,14.30 ,0.95 ,0.00 ,0.01 ,0.02 ,0.02 ,0.01 ,0.10 ,0.13 ,0.11 ,0.32 ,0.19 ,0.15 
Homewood West,11.00 ,4369.00 ,4309.00 ,3733.00 ,2745.00 ,1873.00 ,1369.00 ,1114.00 ,818.00 ,(0.26),(0.32),(0.27),(0.19),(0.27),0.00 ,0.20 ,127.40 ,4110.60 ,5598.00 ,6.40 ,8.70 ,0.96 ,0.00 ,0.00 ,0.02 ,0.01 ,0.01 ,0.05 ,0.25 ,0.12 ,0.25 ,0.20 ,0.12 
